# INE	name	CCAA	status	statuses	envelope%	determination%	blocking item	class	last measured
# emitted by tools/cold-start-probe/task5-amb-all-municipalities.mjs · seed 20260802 · control=PASS · NEVER hand-edit
# col 4 = the HIGHEST status earned; col 5 = ALL statuses earned, pipe-joined. They are not mutually exclusive.
# a row with no computed coverage carries NEITHER percentage — a zero would read as "measured, and it is nothing".
# COUNT RECIPE: grep -cP '(\t|\|)proven(\||\t)' out/amb-tracker-rows.tsv   # same shape for: published, reachable, blocked, untested
08015	Badalona	Catalunya	proven	proven	69.47	93.3	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08019	Barcelona	Catalunya	published	published|proven	34.03	93.56	delegated to a pla derivat not held (59.53 %)	Data acquisition	2026-08-02
08020	Begues	Catalunya	proven	proven	61.4	80.63	PGM does not govern — municipal ordinance corpus not held; measured envelope has no article citation	Data acquisition	2026-08-02
08054	Castellbisbal	Catalunya	proven	proven	45.48	64.16	PGM does not govern — municipal ordinance corpus not held; measured envelope has no article citation	Data acquisition	2026-08-02
08056	Castelldefels	Catalunya	proven	proven	73.7	98.57	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08068	Cervelló	Catalunya	proven	proven	65.52	85.17	PGM does not govern — municipal ordinance corpus not held; measured envelope has no article citation	Data acquisition	2026-08-02
08072	Corbera de Llobregat	Catalunya	proven	proven	81.67	89.57	PGM does not govern — municipal ordinance corpus not held; measured envelope has no article citation	Data acquisition	2026-08-02
08073	Cornellà de Llobregat	Catalunya	proven	proven	64.37	86.57	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08077	Esplugues de Llobregat	Catalunya	proven	proven	61.28	95.69	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08089	Gavà	Catalunya	proven	proven	42.8	96.57	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08101	L'Hospitalet de Llobregat	Catalunya	proven	proven	73.13	90.23	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08123	Molins de Rei	Catalunya	proven	proven	32.19	95.08	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08125	Montcada i Reixac	Catalunya	proven	proven	31.71	95.72	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08126	Montgat	Catalunya	proven	proven	35.67	89.26	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08157	Pallejà	Catalunya	proven	proven	65.31	96.44	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08158	El Papiol	Catalunya	proven	proven	25.54	91.39	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08169	El Prat de Llobregat	Catalunya	proven	proven	58.39	93.56	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08180	Ripollet	Catalunya	proven	proven	54.62	95.39	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08194	Sant Adrià de Besòs	Catalunya	proven	proven	46.87	75.97	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08196	Sant Andreu de la Barca	Catalunya	proven	proven	54.05	74.92	PGM does not govern — municipal ordinance corpus not held; measured envelope has no article citation	Data acquisition	2026-08-02
08200	Sant Boi de Llobregat	Catalunya	proven	proven	46.63	94.5	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08204	Sant Climent de Llobregat	Catalunya	proven	proven	43.88	96.68	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08205	Sant Cugat del Vallès	Catalunya	proven	proven	49.7	97.67	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08211	Sant Feliu de Llobregat	Catalunya	proven	proven	49.13	89.47	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08217	Sant Joan Despí	Catalunya	proven	proven	34.1	79.07	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08221	Sant Just Desvern	Catalunya	proven	proven	62.69	91.97	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08244	Santa Coloma de Cervelló	Catalunya	proven	proven	33.3	95.63	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08245	Santa Coloma de Gramenet	Catalunya	proven	proven	59.03	97.43	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08252	Barberà del Vallès	Catalunya	proven	proven	68.55	69.49	PGM does not govern — municipal ordinance corpus not held; measured envelope has no article citation	Data acquisition	2026-08-02
08263	Sant Vicenç dels Horts	Catalunya	proven	proven	42.33	97.73	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08266	Cerdanyola del Vallès	Catalunya	proven	proven	38.23	94.7	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08282	Tiana	Catalunya	proven	proven	36.56	88.25	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08289	Torrelles de Llobregat	Catalunya	proven	proven	67.98	69.22	PGM does not govern — municipal ordinance corpus not held; measured envelope has no article citation	Data acquisition	2026-08-02
08301	Viladecans	Catalunya	proven	proven	56.73	93.49	Phase-1 unbinding: bcnRefosOVProvider CODI_INE='08019' · siteDispatch clau-18 guard · registry.ts BARCELONA_BBOX	Engineering	2026-08-02
08904	Badia del Vallès	Catalunya	proven	proven	0.41	4.13	PGM does not govern — municipal ordinance corpus not held; measured envelope has no article citation	Data acquisition	2026-08-02
08905	La Palma de Cervelló	Catalunya	proven	proven	47.15	47.15	PGM does not govern — municipal ordinance corpus not held; measured envelope has no article citation	Data acquisition	2026-08-02
